,TIME,DEPTH,TEMP,PRES,PSAL,CNDC
0,19692.254652777778,25,9.246,27.0,32.634,35.109
1,19692.628032407407,25,9.844,26.0,33.199,36.194
2,19692.684050925924,25,9.975,27.0,33.185,36.298
3,19692.70900462963,25,10.445,26.0,33.391,36.928
4,19692.728078703705,25,10.598,29.0,33.493,37.17
5,19692.754166666666,25,10.516,27.0,33.432,37.034
6,19692.796828703704,25,10.704,27.0,33.485,37.259
7,19692.814421296298,25,10.779,27.0,33.476,37.318
8,19692.836527777778,25,10.946,28.0,33.532000000000004,37.529
9,19693.03357638889,25,7.742,25.0,32.686,33.834
10,19693.050648148146,25,9.769,28.0,33.164,36.092
11,19693.068287037036,25,9.97,28.0,33.189,36.298
12,19693.08523148148,25,9.554,28.0,32.981,35.72
13,19693.10162037037,25,9.423,28.0,32.864,35.489
14,19693.477129629628,25,9.206,27.0,32.622,35.062
15,19693.54962962963,25,9.49,26.0,32.578,35.27
16,19693.630949074075,25,10.040000000000001,27.0,32.849000000000004,36.026
17,19693.683287037038,25,9.895,26.0,32.84,35.887
18,19693.823645833334,25,9.919,27.0,32.903,35.97
19,19694.118668981482,25,9.082,28.0,32.69,35.018
20,19694.325856481482,25,7.2010000000000005,25.0,32.351,33.053
21,19694.361782407406,25,7.399,27.0,32.429,33.297000000000004
22,19694.38221064815,25,7.273000000000001,30.0,32.386,33.15
23,19694.404895833333,25,7.197,26.0,32.349000000000004,33.048
24,19694.56545138889,25,9.392,27.0,32.798,35.397
25,19694.617071759258,25,8.743,28.0,32.628,34.659
26,19694.69244212963,25,9.741,27.0,32.917,35.825
27,19695.04265046296,25,9.816,28.0,33.172000000000004,36.142
28,19695.626342592594,25,7.064,26.0,32.529,33.098
29,19697.485254629628,25,7.416,26.0,32.609,33.478
30,19697.498645833333,25,7.402,26.0,32.605000000000004,33.461
31,19697.518888888888,25,7.606,25.0,32.653,33.684
32,19697.543344907408,25,6.953,26.0,32.486000000000004,32.962
33,19697.567858796294,25,9.063,28.0,33.222,35.513
34,19697.58576388889,25,7.3870000000000005,26.0,32.61,33.453
35,19697.62346064815,25,7.4030000000000005,26.0,32.606,33.463
36,19697.64998842593,25,6.746,26.0,32.46,32.76
37,19697.696122685185,25,7.018,26.0,32.432,32.969
38,19697.711284722223,25,8.646,28.0,33.135,35.057
39,19697.914548611112,25,8.603,26.0,32.751,34.652
40,19697.977256944443,25,8.671,27.0,32.757,34.718
41,19698.052604166667,25,8.786,27.0,32.658,34.726
42,19698.264224537037,25,8.745000000000001,28.0,33.123,35.133
43,19698.308622685185,25,8.71,26.0,33.356,35.324
44,19698.42417824074,25,8.695,28.0,32.524,34.517
45,19698.610729166667,25,8.113,28.0,33.339,34.774
46,19698.732916666668,25,7.1160000000000005,26.0,32.410000000000004,33.034
47,19698.80144675926,25,8.312,28.0,33.154,34.777
48,19699.146030092594,25,7.114,25.0,32.543,33.154
49,19699.306030092594,25,7.178,28.0,32.314,33.0
50,19699.739618055555,25,8.011000000000001,29.0,32.892,34.264
51,19699.88394675926,25,7.109,27.0,31.86,32.522
52,19699.938877314813,25,8.066,28.0,35.025,36.308
53,19700.170601851853,25,8.065,27.0,35.008,36.29
54,19700.26103009259,25,7.822,28.0,32.531,33.76
55,19700.33179398148,25,7.4510000000000005,27.0,35.14,35.841
56,19701.04949074074,25,6.949,26.0,32.557,33.024
57,19701.107627314814,25,7.013,25.0,32.568,33.09
58,19701.82888888889,25,6.88,26.0,32.616,33.018
59,19702.398252314815,25,6.625,25.0,32.331,32.539
60,19702.489131944447,25,6.75,26.0,32.354,32.667
61,19703.495717592592,25,6.694,26.0,32.694,32.928
62,19703.666469907406,25,6.686,25.0,32.623,32.857
63,19703.68435185185,25,6.686,26.0,32.627,32.861000000000004
64,19703.705625,25,6.926,26.0,32.664,33.103
65,19703.73215277778,25,7.247,26.0,32.779,33.488
66,19704.4840625,25,7.956,26.0,35.19,36.357
67,19704.76478009259,25,7.258,25.0,35.18,35.696
68,19705.055486111112,25,7.352,25.0,35.185,35.79
69,19705.218344907407,25,7.096,26.0,35.182,35.549
70,19705.374837962965,25,8.269,26.0,35.241,36.698
71,19705.610532407405,25,7.643,27.0,35.177,36.053
72,19705.792835648146,25,7.045,26.0,35.177,35.496
73,19706.722476851854,25,7.424,27.0,35.214,35.883
74,19706.89582175926,25,7.994,25.0,35.237,36.436
75,19707.025104166667,25,6.268,27.0,35.163000000000004,34.766
76,19707.139386574072,25,6.333,26.0,35.163000000000004,34.827
77,19707.287280092594,25,6.317,25.0,35.162,34.81
78,19707.42855324074,25,6.864,27.0,35.176,35.329
79,19707.649699074074,25,6.577,25.0,35.168,35.055
80,19707.85150462963,25,7.359,27.0,35.165,35.778
81,19708.06641203704,25,6.98,25.0,34.386,34.719
82,19708.19885416667,25,7.393,26.0,34.994,35.653
83,19708.459618055556,25,6.746,27.0,35.143,35.19
84,19708.92704861111,25,7.348,25.0,35.195,35.795
85,19709.127719907407,25,5.978,26.0,35.134,34.474000000000004
86,19709.30216435185,25,6.756,28.0,35.148,35.204
87,19709.49513888889,25,7.259,26.0,34.768,35.322
88,19740.49835648148,25,6.76,26.0,33.663000000000004,33.866
89,19740.58653935185,25,6.715,28.0,33.551,33.725
90,19740.667662037038,25,7.634,28.0,34.327,35.262
91,19740.744085648148,25,8.572000000000001,26.0,34.988,36.744
92,19740.82013888889,25,8.367,27.0,35.258,36.806
93,19740.924930555553,25,7.861,25.0,35.24,36.314
94,19741.00354166667,25,7.811,29.0,35.233000000000004,36.262
95,19741.115162037036,25,8.254,28.0,35.276,36.718
96,19741.201412037037,25,8.05,27.0,35.255,36.506
97,19741.320833333335,25,8.113,27.0,35.263,36.572
98,19741.44386574074,25,8.26,25.0,35.258,36.705
99,19741.61021990741,25,7.62,30.0,35.212,36.065
100,19741.735243055555,25,5.997,26.0,35.064,34.43
101,19741.92462962963,25,6.075,27.0,35.076,34.513
102,19742.06465277778,25,5.914,27.0,35.067,34.357
103,19743.67172453704,25,6.173,25.0,35.178,34.692
104,19743.816851851854,25,6.9270000000000005,26.0,35.199,35.408
105,19743.959583333333,25,6.9590000000000005,28.0,35.214,35.452
106,19744.434328703705,25,7.206,26.0,35.175000000000004,35.645
107,19744.581435185184,25,6.888,27.0,35.168,35.343
108,19744.620844907407,25,6.211,28.0,32.63,32.454
109,19744.64652777778,25,6.672,27.0,33.044000000000004,33.227000000000004
110,19744.684363425924,25,6.256,28.0,32.616,32.480000000000004
111,19744.757465277777,25,6.992,25.0,33.122,33.579
112,19744.777280092592,25,7.4,27.0,35.096000000000004,35.753
113,19744.81386574074,25,7.365,26.0,33.419000000000004,34.18
114,19744.851284722223,25,6.71,25.0,34.574,34.644
115,19744.871273148146,25,7.607,27.0,33.46,34.434
116,19744.91859953704,25,6.192,26.0,34.424,34.039
117,19744.957858796297,25,5.965,27.0,34.145,33.589
118,19744.986643518518,25,8.523,27.0,33.864,35.637
119,19745.00292824074,25,5.0200000000000005,27.0,33.471000000000004,32.163000000000004
120,19745.040694444444,25,8.766,28.0,33.744,35.744
121,19745.074085648146,25,8.598,27.0,33.847,35.69
122,19745.39480324074,25,6.556,25.0,33.177,33.245
123,19745.695752314816,25,5.5440000000000005,26.0,34.208,33.267
124,19745.75480324074,25,6.0280000000000005,27.0,34.467,33.931
125,19745.805868055555,25,6.1930000000000005,26.0,34.581,34.18
126,19745.856863425925,25,6.332,25.0,34.894,34.585
127,19745.919756944444,25,6.412,26.0,34.751,34.531
128,19745.968622685185,25,6.172,26.0,34.883,34.43
129,19746.019652777777,25,6.386,27.0,34.961,34.696
130,19746.10585648148,25,6.381,27.0,35.048,34.769
131,19746.176805555555,25,6.333,27.0,35.058,34.734
132,19746.26958333333,25,6.140000000000001,27.0,35.074,34.571
133,19746.34329861111,25,6.016,26.0,35.097,34.477000000000004
134,19746.421620370373,25,6.027,26.0,35.089,34.480000000000004
135,19746.50445601852,25,5.128,27.0,35.1,33.67
136,19746.60158564815,25,5.006,28.0,35.096000000000004,33.555
137,19746.68579861111,25,3.818,28.0,35.061,32.453
138,19746.77496527778,25,3.571,27.0,35.058,32.229
139,19746.835682870373,25,3.479,27.0,35.054,32.144
140,19746.888148148148,25,2.86,27.0,35.032000000000004,31.574
